% Model,model2.mph
% Version,COMSOL 6.1.0.357
% Date,"Jul 4 2023, 21:07"
% Dimension,1
% Nodes,5427
% Expressions,1
% Description,Global
% Integration 1 (mm);Integration 1
7.6500;6897.6
7.8750;6945.6
8.1000;6992.9
8.3250;7039.4
8.5500;7085.3
8.7750;7130.6
9.0000;7175.2
9.2250;7219.2
9.4500;7262.5
9.6750;7305.2
9.9000;7347.3
10.125;7388.8
10.350;7429.8
10.575;7470.1
10.800;7509.9
11.025;7549.0
11.250;7587.7
11.475;7625.8
11.700;7663.4
11.925;7700.3
12.150;7736.9
12.375;7772.9
12.600;7808.3
12.825;7843.3
13.050;7877.8
13.275;7911.8
13.500;7945.3
13.725;7978.3
13.950;8010.9
14.175;8043.0
14.400;8074.7
14.625;8105.9
14.850;8136.7
15.075;8167.0
15.300;8196.9
15.525;8226.4
15.750;8255.5
15.975;8284.1
16.200;8312.4
16.425;8340.2
16.650;8367.7
16.875;8394.8
17.100;8421.4
17.325;8447.7
17.550;8473.7
17.775;8499.2
18.000;8524.4
18.225;8549.3
18.450;8573.8
18.675;8597.9
18.900;8621.7
19.125;8645.2
19.350;8668.3
19.575;8691.1
19.800;8713.5
20.025;8735.7
20.250;8757.5
20.475;8779.0
20.700;8800.2
20.925;8821.1
21.150;8841.7
21.375;8862.0
21.600;8882.0
21.825;8901.7
22.050;8921.1
22.275;8940.2
22.500;8959.1
22.725;8977.7
22.950;8996.0
23.175;9014.1
23.400;9031.9
23.625;9049.5
23.850;9066.7
24.075;9083.8
24.300;9100.6
24.525;9117.1
24.750;9133.4
24.975;9149.5
25.200;9165.3
25.425;9180.9
25.650;9196.2
25.875;9211.4
26.100;9226.3
26.325;9241.0
26.550;9255.4
26.775;9269.7
27.000;9283.7
27.225;9297.6
27.450;9311.2
27.675;9324.7
27.900;9337.9
28.125;9350.9
28.350;9363.8
28.575;9376.4
28.800;9388.9
29.025;9401.1
29.250;9413.2
29.475;9425.1
29.700;9436.8
29.925;9448.4
30.150;9459.8
30.375;9471.0
30.600;9482.0
30.825;9492.9
31.050;9503.6
31.275;9514.1
31.500;9524.5
31.725;9534.7
31.950;9544.8
32.175;9554.7
32.400;9564.4
32.625;9574.0
32.850;9583.5
33.075;9592.8
33.300;9602.0
33.525;9611.0
33.750;9619.9
33.975;9628.6
34.200;9637.2
34.425;9645.7
34.650;9654.1
34.875;9662.3
35.100;9670.4
35.325;9678.3
35.550;9686.2
35.775;9693.9
36.000;9701.5
36.225;9709.0
36.450;9716.3
36.675;9723.6
36.900;9730.7
37.125;9737.7
37.350;9744.6
37.575;9751.4
37.800;9758.1
38.025;9764.7
38.250;9771.1
38.475;9777.5
38.700;9783.8
38.925;9789.9
39.150;9796.0
39.375;9802.0
39.600;9807.9
39.825;9813.6
40.050;9819.3
40.275;9824.9
40.500;9830.4
40.725;9835.8
40.950;9841.2
41.175;9846.4
41.400;9851.6
41.625;9856.6
41.850;9861.6
42.075;9866.5
42.300;9871.3
42.525;9876.1
42.750;9880.8
42.975;9885.3
43.200;9889.9
43.425;9894.3
43.650;9898.7
43.875;9903.0
44.100;9907.2
44.325;9911.3
44.550;9915.4
44.775;9919.4
45.000;9923.4
8.9918E-5;1.0327
0.22502;2584.4
0.45002;4055.7
0.67502;4154.0
0.90001;4244.5
1.1250;4329.9
1.3500;4411.6
1.5750;4490.2
1.8000;4566.2
2.0250;4640.2
2.2500;4712.3
2.4750;4782.6
2.7000;4851.4
2.9250;4919.0
3.1500;4985.2
3.3750;5050.2
3.6000;5114.0
3.8250;5176.7
4.0500;5238.3
4.2750;5298.9
4.5000;5358.5
4.7250;5417.3
4.9500;5475.1
5.1750;5532.0
5.4000;5588.0
5.6250;5643.2
5.8500;5697.6
6.0750;5751.1
6.3000;5803.9
6.5250;5855.8
6.7500;5907.0
6.9750;5957.4
7.2000;6007.1
7.4250;6056.1
7.6500;6104.4
7.8750;6152.0
8.1000;6198.9
8.3250;6245.1
8.5500;6290.7
8.7750;6335.7
9.0000;6379.9
9.2250;6423.6
9.4500;6466.7
9.6750;6509.1
9.9000;6550.9
10.125;6592.2
10.350;6632.9
10.575;6673.0
10.800;6712.6
11.025;6751.5
11.250;6790.0
11.475;6827.8
11.700;6865.2
11.925;6902.1
12.150;6938.4
12.375;6974.2
12.600;7009.5
12.825;7044.4
13.050;7078.8
13.275;7112.6
13.500;7146.0
13.725;7178.9
13.950;7211.4
14.175;7243.4
14.400;7275.0
14.625;7306.1
14.850;7336.7
15.075;7367.0
15.300;7396.8
15.525;7426.2
15.750;7455.2
15.975;7483.8
16.200;7512.0
16.425;7539.8
16.650;7567.2
16.875;7594.3
17.100;7620.9
17.325;7647.2
17.550;7673.1
17.775;7698.6
18.000;7723.8
18.225;7748.6
18.450;7773.1
18.675;7797.2
